Call Type,Call Type
ABAND/PROP WEAPO,NC
ABAND/STOLEN PRO,NC
ABDUCTION,VC
ACC PDO,NVC
ACC PDO HWY,NVC
ACC PI,NC
ACC PI HWY,NC
ACC UNKN INJ,NC
ACC UNKN INJ HWY,NC
ADDL INFO,NC
AIRCRFT DWN,NC
ALARM ON BUS,NVC
ALTERED CURRENC,NVC
ANIMAL BITE,NC
ASSIGN-ADMN MPD,NC
ASSIGNMENT,NC
ASSIST AN OFFICER,NC
ASST FIRE/AMB,NC
BATT,VC
BATTERY,VC
BATTERY CUT-DV,VC
BATTERY CUTTING,VC
BATTERY DV,VC
BB GUN CMPLNT,NC
BOMB THREAT,VC
BURG AUD/SIL,VC
BURG/AUD BUSINES,VC
BURG/AUD GOVT,VC
BURG/AUD RESI,VC
BUS INVESTIGATIO,NC
BUSINESS CHECK,Passive
CALL BY (10-21),NC
CALL FOR POLICE,NC
CAR CHANGE,Passive
CAR CHECK,NC
CHILD ABUSE,VC
CHILD CUSTODY,NC
CHILD ENTICEMENT,NC
CHILD NEGLECT,NC
CITIZEN CONTACT,NC
CITIZEN CONVEY,NC
COMMUNITY MTNG,NC
CONT DEL MINOR,NVC
CONVEY PROP,NC
CONVEY PROPERTY,NC
COURT DUTY,NC
CRUELTY ANIMAL,NVC
CST ASSIGNMENT,NC
DEAD ON ENTRY,NC
DEMONSTRATION,NC
DOCUMENTED CALL,NC
DOE,NC
DRUG DEALING,NVC
DUI,NVC
ENTRY,NC
ENTRY TO AUTO,NC
ESCORT,NC
ESP TARGET ESCORT,NC
EXPLOSION,VC
EXPLOSIVES,VC
FALSE FIRE ALARM,NC
FAMILY TROUBLE,NC
FIGHT,VC
FIRE,NC
FIREWORKS,NC
FLOODING,NC
FOLLOW UP,NC
FOOT PURSUIT,NVC
FORGERY,NVC
FRAUD,NVC
FRAUD CREDIT CARD,NVC
GAMBLING,NVC
GANG,VC
GAS LEAK,NC
GPS MONITORING,NC
GRAFFITI,NVC
HAZ WASTE MAT,NC
HOLDUP ALARM,NC
HOME VISIT DV,VC
HOSPITAL GUARD,NC
HOSPITAL TO MCMH,NC
HOSTAGE SIT,VC
IND EXPOSURE,NC
INJ PERSON/SICK,NC
INTERNET CRIMES,NVC
INVESTIGATION,NC
ISS WORTH CHECK,NC
JUV CONVEY,NC
LANDLORD/TEN TRB,NC
LOCKOUT,NC
LOITERING,NVC
LOOSE ANIMAL,NC
LOST CHILD,NC
LOUD MUSIC - BUS,NC
LOUD MUSIC - OTHER,NC
LOUD MUSIC - RES,NC
LOUD MUSIC - VEH,NC
MAIL-RUN,NC
MARINE VIOL,NVC
MED RUN,NVC
MEET GOVT AGENCY,NC
MEET PD/OTHER,NC
METH LAB,NVC
MFD OTHER,NC
MFD SECURITY,NC
MISSING CHECK,NC
MISSING REPT,NC
MISSING REPT CRIT,NVC
MISSING RETURN,NC
MO,NVC
MOST WANTED (MKE),VC
MPD MONITORED ALARM,NC
NOISE NUISANCE,NVC
NON PURSUIT,NC
NON PURSUIT NO P,NC
NOTIFICATION,NC
OAI/INTOX DRIVER,NC
OFFICER SHOT,VC
OPEN HYDRANT,NC
OUT OF SERVICE,NC
OVERDOSE,NVC
OVERTURNED BOAT,NVC
PARK AND WALK,Passive
PARKING TROUBLE,NC
PATROL,Passive
PD/OTHER IN MKE,NC
PHONE CALL CMPLNT,NVC
PHOTO ASSIGN,NC
PICKUP PARTNER,NC
PLANT CAR,NVC
PRISONER TRANS,NC
PROBATION/PAROLE,NC
PROPERTY DAMAGE,VC
PROPERTY PICKUP,NC
PROWLERS,NVC
RECK USE OF WEAP,VC
RECKLESS VEHICLE,VC
RECOVERED PROP,NC
RECOVERED VEH,NC
REPORT TO (10-22),NC
REPORTS,NC
RETURN STATION,NC
ROBB ST ARM,VC
ROBBERY,VC
ROBBERY ARMED,VC
SCHL MONITORING,Passive
SCHOOL CROSSING,NC
SEX ASST,VC
SHOOTING,VC
SHOPLIFTER,NVC
SHOTS FIRED,VC
SHOTSPOTTER,SHOTSPOTTER
SOLICITING,NVC
SPECIAL ASSIGN,NC
STOLEN VEHICLE,NVC
SUBJ IN WATER,NVC
SUBJ STOP,NVC
SUBJ WANTED,NVC
SUBJ WITH GUN,VC
SUBJ WITH WEAPON,VC
SUICIDE ATTEMPT,NC
SUSP PERS/AUTO,NC
SUSP PKG/DEVICE,NVC
SUSPICIOUS-OTH,NC
TAVERN CHECK,Passive
TAVERN VIOLATION,NC
THEFT,NVC
THEFT FROM PERSN,NVC
THEFT VEHICLE,NVC
THREAT,VC
THREAT SCHOOL,VC
TORNADO TCHDWN,NC
TRAFFIC HAZARD,NC
TRAFFIC LASER,NC
TRAFFIC STOP,NC
TRBL W/JUV,NC
TRBL W/SUBJ,NC
TRESPASSER,NVC
TRUANT,NC
UNDEFINED,NC
VACANT HOUSE CHK,Passive
VEH MAINTAIN,NC
VEHICLE PURSUIT,NVC
VIOL REST ORDER,VC
WATER MAIN BRK,NC
WELFARE CITIZEN,NC
WIRES DOWN,NC
