"","Call.Number","Date.Time","Location","Police.District","Nature.of.Call","Status","Last Updated"
"1",NA,"","","","","",NA
"2",230510110,"02/20/2023 01:53:48 AM","CUSTER","7","INVESTIGATION","Service in Progress",NA
"3",230510110,"02/20/2023 01:53:48 AM","CUSTER","7","INVESTIGATION","To be Filed",NA
"4",230531237,"02/22/2023 07:02:36 PM","3626 W FOND DU LAC AV,MKE","7","RETURN STATION","Assignment Completed",NA
"5",230531167,"02/22/2023 06:58:07 PM","6510 W HOWARD AV,MKE","6","THEFT","Service in Progress",NA
"6",230531221,"02/22/2023 06:57:36 PM","9033 N 96TH ST,MKE","4","BATTERY DV","Service in Progress",NA
"7",230531229,"02/22/2023 06:56:04 PM","N LINCOLN MEMORIAL DR / E LAFAYETTE HILL RD,MKE","1","TRAFFIC HAZARD","Unable to Locate Complainant",NA
"8",230531228,"02/22/2023 06:55:43 PM","S 10TH ST / W MINERAL ST,MKE","2","WELFARE CITIZEN","Advised",NA
"9",230531224,"02/22/2023 06:55:38 PM","1633 N ARLINGTON PL,MKE","1","WELFARE CITIZEN","Advised",NA
"10",230531213,"02/22/2023 06:43:39 PM","1020 E LYON ST,MKE","1","FOLLOW UP","To be Filed",NA
"11",230531181,"02/22/2023 06:21:43 PM","9142 N 95TH ST,MKE","4","WELFARE CITIZEN","Unable to Locate Complainant",NA
"12",230531250,"02/22/2023 07:15:06 PM","3127 N 21ST ST,MKE","5","BATTERY DV","Service in Progress",NA
"13",230531245,"02/22/2023 07:08:36 PM","749 W STATE ST,MKE","1","REPORTS","Service in Progress",NA
"14",230531242,"02/22/2023 07:06:50 PM","749 W STATE ST,MKE","1","REPORTS","Service in Progress",NA
"15",230531240,"02/22/2023 07:05:18 PM","245 W LINCOLN AV,MKE","2","REPORTS","Service in Progress",NA
"16",230531167,"02/22/2023 06:58:07 PM","6510 W HOWARD AV,MKE","6","THEFT","Advised",NA
"17",230531221,"02/22/2023 06:57:36 PM","9033 N 96TH ST,MKE","4","BATTERY DV","Unable to Locate Complainant",NA
"18",230531219,"02/22/2023 06:50:11 PM","N PALMER ST / E LOCUST ST,MKE","5","SHOTS FIRED","Unable to Locate Complainant",NA
"19",230531193,"02/22/2023 06:30:23 PM","1633 N ARLINGTON PL,MKE","1","VIOL REST ORDER","Advised/Referral",NA
"20",230531255,"02/22/2023 07:21:50 PM","N 27TH ST / W CENTER ST,MKE","3","ACC PI","Service in Progress",NA
"21",230531265,"02/22/2023 07:31:15 PM","N 29TH ST / W JUNEAU AV,MKE","3","INVESTIGATION","Service in Progress",NA
"22",230531264,"02/22/2023 07:29:08 PM","2301 N LAKE DR,MKE","1","FOLLOW UP","Service in Progress",NA
"23",230531258,"02/22/2023 07:25:31 PM","7408 W HOPE AV,MKE","7","BATTERY","Service in Progress",NA
"24",230531270,"02/22/2023 07:35:17 PM","2920 N VEL R PHILLIPS AV,MKE","5","RETURN STATION","Service in Progress",NA
"25",230531293,"02/22/2023 07:52:17 PM","6929 W SILVER SPRING DR,MKE","4","RETURN STATION","Service in Progress",NA
"26",230600319,"03/01/2023 07:54:25 AM","N 91ST ST / W GOOD HOPE RD,MKE","4","ASSIGNMENT","Unable to Locate Complainant",NA
"27",230600366,"03/01/2023 07:53:04 AM","3626 W FOND DU LAC AV,MKE","7","OUT OF SERVICE","Assignment Completed",NA
"28",230600364,"03/01/2023 07:52:05 AM","WAUPACA COUNTY JAIL, 1402 ROYALTON ST WAUPACA, WI","4","ASSIGNMENT","Service in Progress",NA
"29",230600363,"03/01/2023 07:50:46 AM","N 86TH ST / W CAPITOL DR,MKE","7","TRAFFIC STOP","Advised",NA
"30",230600362,"03/01/2023 07:50:26 AM","949 N 9TH ST,MKE","1","COURT DUTY","Service in Progress",NA
"31",230600384,"03/01/2023 08:04:54 AM","6929 W SILVER SPRING DR,MKE","4","ASSIGNMENT","Service in Progress",NA
"32",230600377,"03/01/2023 08:04:33 AM","816 W GREENFIELD AV,MKE","2","ENTRY","Service in Progress",NA
"33",230600379,"03/01/2023 08:03:41 AM","3626 W FOND DU LAC AV,MKE","7","REPORTS","Service in Progress",NA
"34",230600378,"03/01/2023 08:03:40 AM","N WATER ST / E JUNEAU AV,MKE","1","SPECIAL ASSIGN","Service in Progress",NA
"35",230600367,"03/01/2023 08:03:39 AM","5301 N TEUTONIA AV,MKE","4","BATTERY DV","Service in Progress",NA
"36",230600360,"03/01/2023 08:02:52 AM","4519 N 36TH ST,MKE","7","THREAT","Service in Progress",NA
"37",230600272,"03/01/2023 08:02:46 AM","1713 W KEEFE AV,MKE","5","GPS MONITORING","Service in Progress",NA
"38",230600356,"03/01/2023 07:46:26 AM","4715 W VLIET ST,MKE","3","RETURN STATION","Assignment Completed",NA
"39",230600371,"03/01/2023 08:09:36 AM","S 23RD ST / W BECHER ST,MKE","2","ACC PDO","Service in Progress",NA
"40",230600354,"03/01/2023 08:08:41 AM","N 76TH ST / W CARMEN AV,MKE","4","ACC PI","Service in Progress",NA
"41",230600323,"03/01/2023 08:08:09 AM","2963 N 24TH PL,MKE","5","STOLEN VEHICLE","Service in Progress",NA
"42",230600385,"03/01/2023 08:07:27 AM","1129 S 18TH ST,MKE","2","SUBJ WITH WEAPON","Service in Progress",NA
"43",230600342,"03/01/2023 08:06:30 AM","4600 S 6TH ST,MKE","6","ENTRY TO AUTO","Service in Progress",NA
"44",230600302,"03/01/2023 08:05:16 AM","555 S LAYTON BL,MKE","2","TRBL W/SUBJ","Service in Progress",NA
"45",230600355,"03/01/2023 07:47:26 AM","2178 N 57TH ST,MKE","3","BATTERY DV","Open Investigation",NA
"46",230600412,"03/01/2023 08:24:06 AM","949 N 9TH ST,MKE","1","COURT DUTY","Service in Progress",NA
"47",230600405,"03/01/2023 08:16:25 AM","2920 N VEL R PHILLIPS AV,MKE","5","PROPERTY PICKUP","Service in Progress",NA
"48",230600419,"03/01/2023 08:34:05 AM","W ST PAUL AV / N 3RD ST,MKE","1","ACC PDO","Service in Progress",NA
"49",230600421,"03/01/2023 08:32:48 AM","3000 W CANAL ST,MKE","3","ASSIGNMENT","Service in Progress",NA
"50",230600411,"03/01/2023 08:26:02 AM","2070 S MUSKEGO AV,MKE","2","TRBL W/SUBJ","Service in Progress",NA
"51",230690475,"03/10/2023 08:29:41 AM","N WATER ST / E ST PAUL AV,MKE","1","CRUELTY ANIMAL","Service in Progress",NA
"52",230690518,"03/10/2023 08:29:03 AM","10295 W FOND DU LAC AV,MKE","4","BATTERY DV","Service in Progress",NA
"53",230690504,"03/10/2023 08:26:07 AM","N 91ST ST / W GOOD HOPE RD,MKE","4","TRAFFIC HAZARD","Assignment Completed",NA
"54",230690509,"03/10/2023 08:25:53 AM","1243 N 10TH ST,MKE","1","INJ PERSON/SICK","Service in Progress",NA
"55",230690513,"03/10/2023 08:23:49 AM","3006 S 27TH ST,MKE","6","RETURN STATION","Assignment Completed",NA
"56",230690511,"03/10/2023 08:23:21 AM","951 N JAMES LOVELL ST,MKE","1","RETURN STATION","Service in Progress",NA
"57",230690466,"03/10/2023 08:22:05 AM","S HERMAN ST / E WILBUR AV,MKE","6","WIRES DOWN","Service in Progress",NA
"58",230690508,"03/10/2023 08:21:59 AM","901 N 9TH ST,MKE","1","COURT DUTY","Assignment Completed",NA
"59",230690487,"03/10/2023 08:20:21 AM","N LINCOLN MEMORIAL DR / E LAFAYETTE HILL RD,MKE","1","TRAFFIC HAZARD","Service in Progress",NA
"60",230690485,"03/10/2023 08:16:29 AM","1335 W VLIET ST,MKE","3","THEFT","Advised",NA
"61",230690439,"03/10/2023 08:12:35 AM","N HUMBOLDT BL / E KEEFE AV,MKE","5","TRAFFIC HAZARD","Assignment Completed",NA
"62",230690437,"03/10/2023 08:06:45 AM","2473 S WENTWORTH AV,MKE","6","WIRES DOWN","Assignment Completed",NA
"63",230690483,"03/10/2023 08:03:51 AM","6929 W SILVER SPRING DR,MKE","4","SPECIAL ASSIGN","Assignment Completed",NA
"64",230690522,"03/10/2023 08:33:10 AM","1911 S 6TH ST,MKE","2","WELFARE CITIZEN","Service in Progress",NA
"65",230690509,"03/10/2023 08:25:53 AM","1243 N 10TH ST,MKE","1","INJ PERSON/SICK","Unable to Locate Complainant",NA
"66",230690487,"03/10/2023 08:20:21 AM","N LINCOLN MEMORIAL DR / E LAFAYETTE HILL RD,MKE","1","TRAFFIC HAZARD","Assignment Completed",NA
"67",230690447,"03/10/2023 08:06:31 AM","2962 N 41ST ST,MKE","7","WELFARE CITIZEN","Unable to Locate Complainant",NA
"68",230690414,"03/10/2023 08:06:06 AM","175 W LAYTON AV,MKE","6","HOLDUP ALARM","False Alarm",NA
"69",230690534,"03/10/2023 08:39:15 AM","749 W STATE ST,MKE","1","ASSIGN-ADMN MPD","Service in Progress",NA
"70",230690501,"03/10/2023 08:18:16 AM","1318 S 34TH ST,MKE","2","WIRES DOWN","Assignment Completed",NA
