Zip Code,Date,Count,Day,Feels Like,Precipitation
53110,2023-02-20,4,0,28.9,0.0
53110,2023-02-26,1,6,28.1,0.0
53110,2023-03-03,1,4,28.5,0.0
53110,2023-03-25,1,5,27.7,0.66
53129,2023-03-08,2,2,31.2,0.0
53132,2023-02-21,2,1,20.7,0.011
53132,2023-02-26,4,6,28.1,0.0
53132,2023-02-27,4,0,28.9,2.006
53132,2023-03-05,4,6,32.8,0.02
53132,2023-03-09,4,3,28.8,0.454
53132,2023-03-21,6,1,36.4,0.0
53132,2023-03-22,1,2,39.4,0.0
53132,2023-03-24,4,4,31.1,0.0
53132,2023-04-04,2,1,38.6,0.523
53132,2023-04-13,2,3,69.7,0.0
53132,2023-04-17,1,0,25.4,0.023
53154,2023-02-02,1,3,10.7,0.0
53154,2023-02-08,5,2,31.7,0.0
53154,2023-02-09,7,3,29.0,0.957
53154,2023-02-11,6,5,28.0,0.0
53154,2023-02-14,5,1,37.1,0.039
53154,2023-02-15,6,2,35.4,0.007
53154,2023-02-17,2,4,9.2,0.0
53154,2023-02-20,2,0,28.9,0.0
53154,2023-02-21,5,1,20.7,0.011
53154,2023-02-23,4,3,22.6,0.066
53154,2023-02-28,6,1,33.9,0.0
53154,2023-03-02,4,3,28.2,0.0
53154,2023-03-13,4,0,19.7,0.04
53154,2023-03-14,2,1,17.8,0.0
53154,2023-03-23,2,3,33.4,0.032
53154,2023-03-24,2,4,31.1,0.0
53154,2023-03-27,2,0,30.5,0.005
53154,2023-03-28,1,1,35.1,0.0
53154,2023-04-05,5,2,47.9,0.339
53154,2023-04-06,2,3,36.3,0.0
53154,2023-04-08,2,5,45.6,0.0
53154,2023-04-10,1,0,58.8,0.0
53154,2023-04-12,5,2,70.8,0.0
53154,2023-04-17,5,0,25.4,0.023
53154,2023-04-19,6,2,33.8,0.119
53172,2023-03-06,8,0,32.9,0.473
53172,2023-03-09,4,3,28.8,0.454
53202,2023-02-02,5,3,10.7,0.0
53202,2023-02-06,40,0,23.7,0.0
53202,2023-02-07,75,1,33.1,0.0
53202,2023-02-08,71,2,31.7,0.0
53202,2023-02-09,74,3,29.0,0.957
53202,2023-02-10,40,4,24.2,0.0
53202,2023-02-11,78,5,28.0,0.0
53202,2023-02-12,58,6,37.2,0.0
53202,2023-02-13,48,0,35.5,0.0
53202,2023-02-14,71,1,37.1,0.039
53202,2023-02-15,71,2,35.4,0.007
53202,2023-02-16,57,3,18.4,0.309
53202,2023-02-17,67,4,9.2,0.0
53202,2023-02-18,69,5,24.3,0.0
53202,2023-02-19,69,6,34.1,0.0
53202,2023-02-20,75,0,28.9,0.0
53202,2023-02-21,65,1,20.7,0.011
53202,2023-02-22,66,2,19.9,0.648
53202,2023-02-23,60,3,22.6,0.066
53202,2023-02-24,65,4,11.4,0.02
53202,2023-02-25,45,5,23.1,0.057
53202,2023-02-26,57,6,28.1,0.0
53202,2023-02-27,77,0,28.9,2.006
53202,2023-02-28,55,1,33.9,0.0
53202,2023-03-01,55,2,37.8,0.0
53202,2023-03-02,81,3,28.2,0.0
53202,2023-03-03,79,4,28.5,0.0
53202,2023-03-04,95,5,34.9,0.031
53202,2023-03-05,77,6,32.8,0.02
53202,2023-03-06,68,0,32.9,0.473
53202,2023-03-07,78,1,30.1,0.001
53202,2023-03-08,80,2,31.2,0.0
53202,2023-03-09,65,3,28.8,0.454
53202,2023-03-10,63,4,25.7,0.465
53202,2023-03-11,46,5,25.5,0.011
53202,2023-03-12,44,6,27.5,0.111
53202,2023-03-13,54,0,19.7,0.04
53202,2023-03-14,47,1,17.8,0.0
53202,2023-03-21,51,1,36.4,0.0
53202,2023-03-22,65,2,39.4,0.0
53202,2023-03-23,78,3,33.4,0.032
53202,2023-03-24,65,4,31.1,0.0
53202,2023-03-25,54,5,27.7,0.66
53202,2023-03-26,49,6,32.6,0.107
53202,2023-03-27,51,0,30.5,0.005
53202,2023-03-28,66,1,35.1,0.0
53202,2023-03-29,67,2,28.1,0.0
53202,2023-03-30,23,3,28.7,0.0
53202,2023-04-01,32,5,30.8,0.011
53202,2023-04-02,60,6,33.6,0.0
53202,2023-04-03,63,0,48.1,0.211
53202,2023-04-04,55,1,38.6,0.523
53202,2023-04-05,64,2,47.9,0.339
53202,2023-04-06,58,3,36.3,0.0
53202,2023-04-07,69,4,31.8,0.0
53202,2023-04-08,70,5,45.6,0.0
53202,2023-04-09,73,6,53.2,0.0
53202,2023-04-10,78,0,58.8,0.0
53202,2023-04-11,43,1,66.5,0.0
53202,2023-04-12,73,2,70.8,0.0
53202,2023-04-13,75,3,69.7,0.0
53202,2023-04-14,92,4,66.1,0.0
53202,2023-04-15,93,5,67.0,0.012
53202,2023-04-16,78,6,47.1,0.162
53202,2023-04-17,47,0,25.4,0.023
53202,2023-04-18,55,1,38.5,0.0
53202,2023-04-19,60,2,33.8,0.119
53202,2023-04-20,83,3,53.6,0.16
53203,2023-02-02,2,3,10.7,0.0
