Zip Code,Date,Hour,Count,Day,Temperature,Feels Like,Precipitation
53110,2023-02-20,11,4,0,36.0,30.3,0.0
53110,2023-02-26,11,1,6,38.9,33.4,0.0
53110,2023-03-03,13,1,4,37.1,27.8,0.0
53110,2023-03-25,13,1,5,34.1,23.9,0.034
53129,2023-03-08,15,2,2,42.9,37.0,0.0
53132,2023-02-21,11,2,1,26.0,15.5,0.0
53132,2023-02-26,8,4,6,30.8,24.2,0.0
53132,2023-02-27,9,4,0,37.3,27.7,0.434
53132,2023-03-05,17,4,6,38.1,31.7,0.0
53132,2023-03-09,12,4,3,38.8,30.7,0.0
53132,2023-03-21,20,6,1,39.9,35.4,0.0
53132,2023-03-22,12,1,2,45.1,40.7,0.0
53132,2023-03-24,12,4,4,40.9,33.8,0.0
53132,2023-04-04,17,2,1,47.1,41.4,0.011
53132,2023-04-13,17,2,3,82.1,80.1,0.0
53132,2023-04-17,12,1,0,36.0,26.3,0.0
53154,2023-02-02,15,1,3,29.1,16.9,0.0
53154,2023-02-08,13,1,2,43.6,40.0,0.0
53154,2023-02-08,14,4,2,43.6,40.2,0.0
53154,2023-02-09,0,1,3,36.0,32.2,0.0
53154,2023-02-09,11,2,3,38.1,28.9,0.003
53154,2023-02-09,13,4,3,35.2,24.6,0.084
53154,2023-02-11,16,1,5,47.8,41.6,0.0
53154,2023-02-11,18,2,5,43.6,37.0,0.0
53154,2023-02-11,19,2,5,39.0,33.3,0.0
53154,2023-02-11,20,1,5,38.8,32.5,0.0
53154,2023-02-14,13,1,1,47.8,42.1,0.0
53154,2023-02-14,15,4,1,46.1,39.3,0.0
53154,2023-02-15,9,4,2,42.3,32.2,0.0
53154,2023-02-15,13,2,2,41.0,31.2,0.0
53154,2023-02-17,8,2,4,17.9,6.8,0.0
53154,2023-02-20,11,2,0,36.0,30.3,0.0
53154,2023-02-21,13,1,1,29.1,22.6,0.0
53154,2023-02-21,16,4,1,32.0,27.2,0.0
53154,2023-02-23,10,2,3,34.1,29.7,0.0
53154,2023-02-23,19,2,3,29.8,19.2,0.0
